scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
24185,2664720,14680394,Bi-monthly,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0394
24201,9574174,18736793,Semi-monthly,,http://www.elsevier.com/wps/find/journaldescription.cws_home/939/description#description
24207,15684539,15732908,Quarterly,,http://www.springerlink.com/content/108654/
24242,10636706,19410034,Monthly,,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=91
24254,1628828,19393539,Monthly,,http://www.computer.org/portal/web/tpami
24258,11373601,19883064,,,
24286,0888613X,18734731,Bi-monthly,,http://www.journals.elsevier.com/international-journal-of-approximate-reasoning/#description
24305,8848173,1098111X,Monthly,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-111X
24306,10512004,10954333,Monthly,,http://www.journals.elsevier.com/digital-signal-processing/#description
24310,2180014,17936381,Monthly,,http://www.worldscinet.com/ijprai/ijprai.shtml
24326,2184885,17936411,Bi-monthly,,http://www.worldscinet.com/ijufks/ijufks.shtml
24330,10769757,19435037,Annual,27 weeks,http://www.jair.org/
24354,1687433,15730670,Bi-monthly,,http://www.springerlink.com/content/100280/
24357,0952813X,13623079,Quarterly,,http://www.tandfonline.com/loi/teta20
24358,13811231,15729397,Bi-monthly,,http://www.springerlink.com/content/102935/
24360,9210296,15730409,Monthly,,http://www.springerlink.com/content/100290/
24361,9259902,15737675,Bi-monthly,,http://www.springerlink.com/content/100289/
24363,9565515,15728145,Bi-monthly,,http://www.springerlink.com/content/0956-5515
24449,235954,1805949X,Bi-monthly,,http://www.kybernetika.cz/
24772,9507051,18727409,Bi-monthly,,http://www.journals.elsevier.com/knowledge-based-systems/#description
24774,2698889,14698005,Annual,,http://journals.cambridge.org/action/displayJournal?jid=KER
24775,8856125,15730565,Monthly,,unsafe:jttp://www.springerlink.com/content/100309/
24777,9246495,15728641,Quarterly,,http://www.springerlink.com/content/100314/
24800,9410643,14333058,Monthly,,http://www.springerlink.com/content/102827/
24802,12100552,23364335,Bi-monthly,,http://www.nnw.cz/
24804,8936080,18792782,Monthly,,http://www.journals.elsevier.com/neural-networks/
24806,13704621,1573773X,Bi-monthly,,http://www.springerlink.com/content/100321/
24807,9252312,18728286,Semi-monthly,,http://www.journals.elsevier.com/neurocomputing/#description
24822,14337541,1433755X,Quarterly,,http://www.springerlink.com/content/103609/
